number,wallet,ethereum-ETH,ethereum-USDT,ethereum-USDC,arbitrum-ETH,arbitrum-USDT,arbitrum-USDC,arbitrum-USDC,arbitrum-BTC.B,optimism-ETH,optimism-USDT,optimism-USDC,optimism-USDC,polygon-MATIC,polygon-USDT,polygon-USDC,polygon-USDC,polygon-BTC.B,avalanche-AVAX,avalanche-USDT,avalanche-USDC,avalanche-USDC.E,avalanche-BTC.B,bsc-BNB,bsc-USDT,bsc-USDC,bsc-BTC.B,zkera-ETH,nova-ETH,nova-USDC,nova-ARB,nova-DAI,nova-WBTC,base-ETH,base-USDBC,total no wallet usd
1,0x906DC5CCBdE33c13Ca69cd892DEae08507FA25cD,1.9051,0.0,0.0,6.0099,0.0,0.0,0.0,0.0,5.7148,0.0,0.0,0.0,20.8895,0.0,1.2089,1.2089,0.0,13.3522,0.1194,53.5374,0.0,0.5029,6.0028,0.0,0.0,0.4691,0.138,4.4917,0.0,0.0,0.0,0.0,11.6273,0.0,127.1779
2,0xE3B052E3f9B9acb6B2a3208C5Ec4E064d6240237,3.6191,0.0,0.0,6.0078,0.5032,0.0,0.0015,0.0,7.323,0.0,1.4146,1.4146,6.0335,0.0062,0.0,0.0,0.0,9.2329,0.1548,2.5687,0.0,0.0,0.1881,2.3506,0.0,0.0,4.9309,4.8621,0.0,0.0,0.0,0.0,1.3376,0.0,51.9492
3,0x096aa53ebDE3323522E3d60fF51f5726A64627AD,3.1212,0.0,0.0,7.1022,0.5241,0.0,0.0,0.0,8.7225,0.0,0.0,0.0,10.4972,1.4442,0.899,0.899,0.0037,13.4185,0.9163,0.0,0.0,0.6665,5.9319,0.5841,0.0,0.0,12.4688,5.695,0.0,0.0,0.0,0.0,0.6071,0.9491,74.4504
4,0xA451c0435d63fdFbece2B078CDE6229f79147b1c,3.5895,0.0,0.0,6.4512,0.4974,0.0,0.0017,0.0,6.3678,0.0,0.0,0.0,10.3483,0.0,1.7728,1.7728,0.0,15.1494,0.7359,0.0,0.0,0.0,1.5124,2.6439,0.0,0.0,14.4089,4.2788,0.0,0.0,0.0,0.0,1.2018,0.0,70.7326
5,0x1A589eeDB1a39C8e6cd1A58a487ec6087c26aA02,3.2021,0.0,0.0,5.7749,0.4839,1.1637,0.0013,0.0,9.475,0.0,0.2034,0.2034,5.4502,0.006,1.3137,1.3137,0.0,5.064,0.7189,2.1739,0.0,0.3684,0.2605,0.0,0.0,0.0,11.3035,3.9498,0.0,0.0,0.0,0.0,0.9794,0.0,53.4097
6,0x50fbC4D89dac0AEa08d8151cfc5221C2F2Bba4Ac,2.1464,0.0,0.0,6.533,0.5715,0.0,0.0,0.0,5.2714,0.0,0.0,0.0,9.9115,0.0051,1.647,1.647,0.0,19.2992,0.5768,0.0,0.0,0.0,1.0607,2.4428,0.0,0.0,4.1032,3.5489,0.0,0.0,0.0,0.0,1.1083,3.2891,63.1619
7,0xEdeD4AF654b0eBD2ae34ebd08bddb5684D91396e,3.0341,0.0,0.0,6.2149,0.5321,0.0,0.0,0.0,7.9435,0.0,0.0249,0.0249,11.8955,1.2818,0.7667,0.7667,0.0,12.0523,0.3086,2.4396,0.0,0.8322,1.6384,1.9571,0.0,0.0,5.1633,3.4865,0.0,0.0,0.0,0.0,7.8842,0.0,68.2473
8,0xFA4E304e0A7D0A50F9F673712e12153caE08c8E3,2.2929,0.0,0.0,5.4443,0.5368,0.0,0.0,0.0,9.2318,0.0,0.0212,0.0212,10.8476,1.4845,7.9145,7.9145,0.0,15.4749,0.574,1.0854,0.0,0.3784,1.4172,0.0,0.0,0.0,6.404,4.234,0.0,0.0,0.0,0.0,1.717,2.6408,79.635
9,0x0177AC27Cd2E109E2205AdA888E3Eb3E6efE56da,2.1126,0.0,0.0,6.0454,0.0,0.0,0.0,0.0,8.5445,0.0,0.0,0.0,4.7207,0.0,2.5898,2.5898,0.0056,8.0223,0.3845,1.1128,0.0,0.0,1.4827,2.2762,0.0,0.0,2.4479,3.8332,0.0,0.0,0.0,0.0,6.0104,0.0,52.1784
10,0x0AA9ad2A77bF99676b40C6a8d26D638a0C446E81,1.9887,0.0,0.0,5.4259,0.0,0.0,1.4914,0.0,6.9548,0.2058,0.0,0.0,9.8855,0.0,1.9039,1.9039,0.0052,14.0998,0.0337,2.8824,0.0,1.3746,1.7594,0.0333,0.0,0.0,1.8823,3.5449,0.0,0.0,0.0,0.0,9.4486,3.2944,68.1185
11,0x4Db7f3b518cf2b9CD2e1d7976f4FD0c116A5A39e,0.0,0.0,0.0,5.1559,0.0,0.0,0.0,0.0,6.066,0.2078,0.0,0.0,8.7347,0.1898,1.8545,1.8545,0.0,15.52,0.0,2.12,0.0,0.0,0.1403,0.0356,0.0,0.0,11.1883,6.7971,0.0,0.0,0.0,0.0,0.0958,2.0756,62.0359
12,0x5F14C6bc1F1297c73e4cc0653D4eCD85de11Ed81,0.0,0.0,0.0,6.855,0.0,0.0,0.0,0.0,6.7222,0.2088,0.0,0.0,11.3205,0.1632,0.0,0.0,0.0,4.4487,0.0,0.0,0.0,0.0,0.2197,0.0,0.0,0.0,14.7353,10.4155,0.0,0.0,0.0,0.0,6.0133,5.2019,66.3041
13,0xbFEf6F95C570edc159136B956a5e9cafd598b201,0.0,0.0,0.0,6.3676,0.0,0.0,0.0,0.0,7.416,0.2108,0.0,0.0,15.3919,0.0,0.0,0.0,1.8013,8.8382,0.0239,3.7989,0.0,0.0,3.3267,0.0,0.0,0.0,5.8801,7.7674,0.0362,0.0,0.0,0.0,8.1297,0.0,68.9887
14,0x3c485244b9AF37Dc9Db65C487d3F3f040919c485,0.0,0.0,0.0,6.4279,0.0,0.0,0.0,0.0,3.4322,0.0,0.0,0.0,11.2676,0.1413,2.5962,2.5962,0.0,8.3006,0.0,0.0,0.0,0.0,2.353,0.0,0.0,0.0,7.6362,4.3998,0.0,0.0,0.0,0.0,8.1888,4.7676,62.1074
